"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness."					
					
					
					
					
					
					
Data extracted from AIR - as at 2359hrs on 03 October 2021					
LGA 2019 Name of Residence	State of Residence	Remoteness	% Received dose 1 	% Received dose 2 	LGA Population
Albury (C)	New South Wales	Inner Regional Australia	86.2%	54.6%	 43,782 
Armidale Regional (A)	New South Wales	Inner Regional Australia	81.5%	57.5%	 25,368 
Ballina (A)	New South Wales	Inner Regional Australia	87.1%	57.8%	 37,124 
Balranald (A)	New South Wales	Outer Regional Australia	80.4%	54.3%	 1,859 
Bathurst Regional (A)	New South Wales	Inner Regional Australia	89.9%	67.5%	 35,111 
Bayside (A)	New South Wales	Major Cities of Australia	86.1%	66.1%	 150,746 
Bega Valley (A)	New South Wales	Outer Regional Australia	93.7%	68.5%	 28,912 
Bellingen (A)	New South Wales	Outer Regional Australia	84.2%	58.3%	 10,692 
Berrigan (A)	New South Wales	Inner Regional Australia	89.3%	65.1%	 7,307 
Blacktown (C)	New South Wales	Major Cities of Australia	>95%	75.4%	 289,214 
Bland (A)	New South Wales	Outer Regional Australia	88.5%	64.9%	 4,773 
Blayney (A)	New South Wales	Inner Regional Australia	94.9%	67.6%	 5,867 
Blue Mountains (C)	New South Wales	Major Cities of Australia	92.7%	72.2%	 64,784 
Bogan (A)	New South Wales	Remote Australia - see note and refer to SA4 data	N/A	N/A	 2,035 
Bourke (A)	New South Wales	Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,930 
Brewarrina (A)	New South Wales	Very Remote Australia - see note and refer to SA4 data	N/A	N/A	 1,231 
Broken Hill (C)	New South Wales	Outer Regional Australia	83.0%	65.6%	 14,532 
Burwood (A)	New South Wales	Major Cities of Australia	88.7%	66.9%	 35,639 
Byron (A)	New South Wales	Inner Regional Australia	72.0%	41.6%	 29,052 
Cabonne (A)	New South Wales	Inner Regional Australia	89.6%	67.4%	 10,765 
Camden (A)	New South Wales	Major Cities of Australia	>95%	79.9%	 76,539 
Campbelltown (C) (NSW)	New South Wales	Major Cities of Australia	>95%	73.5%	 133,449 
Canada Bay (A)	New South Wales	Major Cities of Australia	83.3%	69.2%	 80,727 
Canterbury-Bankstown (A)	New South Wales	Major Cities of Australia	88.6%	68.0%	 301,492 
Carrathool (A)	New South Wales	Remote Australia - see note and refer to SA4 data	N/A	N/A	 2,195 
Central Coast (C) (NSW)	New South Wales	Major Cities of Australia	90.3%	65.2%	 279,484 
