"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness.
* Indicates LGAs with apparent data issues resulting in coverage rates that may not be representative and should be treated with caution. ",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data extracted from AIR - as at 2359hrs on 05 December 2021,,,,,
LGA 2019 Name of Residence,State of Residence,Remoteness,% Received dose 1,% Received dose 2,LGA Population
Albury (C),New South Wales,Inner Regional Australia,>95%,>95%," 43,782 "
Armidale Regional (A),New South Wales,Inner Regional Australia,91.5%,88.9%," 25,368 "
Ballina (A),New South Wales,Inner Regional Australia,>95%,>95%," 37,124 "
Balranald (A),New South Wales,Outer Regional Australia,94.0%,88.6%," 1,859 "
Bathurst Regional (A),New South Wales,Inner Regional Australia,>95%,93.9%," 35,111 "
Bayside (A),New South Wales,Major Cities of Australia,90.7%,88.4%," 150,746 "
Bega Valley (A),New South Wales,Outer Regional Australia,>95%,>95%," 28,912 "
Bellingen (A),New South Wales,Outer Regional Australia,>95%,94.4%," 10,692 "
Berrigan (A),New South Wales,Inner Regional Australia,>95%,>95%," 7,307 "
Blacktown (C),New South Wales,Major Cities of Australia,>95%,>95%," 289,214 "
Bland (A),New South Wales,Outer Regional Australia,94.9%,93.3%," 4,773 "
Blayney (A),New South Wales,Inner Regional Australia,>95%,>95%," 5,867 "
Blue Mountains (C),New South Wales,Major Cities of Australia,>95%,>95%," 64,784 "
Bogan (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,035 "
Bourke (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,930 "
Brewarrina (A),New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,231 "
Broken Hill (C),New South Wales,Outer Regional Australia,90.8%,88.7%," 14,532 "
Burwood (A),New South Wales,Major Cities of Australia,93.6%,91.7%," 35,639 "
Byron (A),New South Wales,Inner Regional Australia,87.4%,83.5%," 29,052 "
Cabonne (A),New South Wales,Inner Regional Australia,>95%,94.0%," 10,765 "
Camden (A),New South Wales,Major Cities of Australia,>95%,>95%," 76,539 "
Campbelltown (C) (NSW),New South Wales,Major Cities of Australia,>95%,>95%," 133,449 "
Canada Bay (A),New South Wales,Major Cities of Australia,86.7%,85.6%," 80,727 "
Canterbury-Bankstown (A),New South Wales,Major Cities of Australia,93.4%,90.6%," 301,492 "
Carrathool (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,195 "
